date	robbery
20121012	40
20121013	131
20121014	161
20121015	124
20121016	78
20121017	115
20121018	146
20121019	143
20121020	176
20121021	199
20121022	164
20121023	134
20121024	58
20121024	37
20121025	59
20121026	29
2012112	102
2012113	146
2012114	79
2012115	116
2012116	178
2012117	48
20121114	16
20121115	224
20121116	240
20121117	148
20121118	260
20121119	310
20121120	320
20121121	69
20121025	59
20121026	29
20121026	29
2012112	102
2012112	102
2012113	146
2012113	146
2012114	79
2012114	79
2012115	116
2012115	116
2012116	178
2012116	178
2012117	48
2012117	48
20121114	16
20121114	16
20121115	224
20121115	224
20121116	240
20121116	240
20121117	148
20121117	148
20121118	260
20121118	260
20121119	310
20121119	310
20121120	320
20121120	320
20121121	69
20121121	69
